Player,Runs,Inns,0s,1s,2s,3s,4s,5s,6s,BF,Dis
Gautam Gambhir,172,24,41,45,16,1,17,0,4,124,15
Shane Watson,295,30,39,60,19,1,23,0,17,159,17
Ambati Rayudu,877,78,125,224,49,1,69,0,46,514,43
Shreyas Iyer,364,27,51,78,19,0,26,0,24,198,14
Kieron Pollard,1708,117,291,323,87,3,110,0,127,941,69
Sanju Samson,547,42,73,101,30,0,38,0,39,281,24
Robin Uthappa,415,34,70,85,26,0,29,0,27,237,21
Rishabh Pant,626,45,89,89,23,1,56,0,44,302,29
Jos Buttler,412,27,58,67,23,1,32,0,28,209,15
KL Rahul,586,40,74,126,33,0,52,0,31,316,22
Faf du Plessis,416,30,45,81,19,1,39,0,23,208,20
Chris Gayle,404,24,55,73,5,1,27,0,35,196,11
AB de Villiers,1421,75,133,198,59,3,106,0,112,611,35
Ravindra Jadeja,1420,130,221,402,91,2,104,0,69,889,62
Mahendra Singh Dhoni,2786,172,383,522,179,4,211,0,175,1474,79
Suresh Raina,664,49,85,172,48,0,54,0,30,389,21
David Warner,415,33,64,81,28,2,38,0,20,233,17
Shikhar Dhawan,499,35,80,120,35,1,48,0,19,303,12
Rohit Sharma,1176,75,151,222,52,0,94,0,79,598,49
Virat Kohli,1099,69,117,204,74,3,78,0,71,547,41
