Player,Runs,Matches,Innings,NO,HS,BF,100,50,0,4s,6s
Virat Kohli,341,15,15,2,70*,280,0,2,1,25,11
Rohit Sharma,316,21,21,1,68,290,0,2,2,26,11
Shikhar Dhawan,330,18,18,0,78,311,0,1,4,34,7
Suresh Raina,714,24,24,5,87,460,0,7,3,51,40
Mahendra Singh Dhoni,523,28,23,8,63*,396,0,2,2,32,28
David Warner,256,9,9,1,93*,193,0,2,1,27,9
Ravindra Jadeja,132,23,15,6,27,103,0,0,2,8,4
AB de Villiers,294,10,10,2,79*,204,0,3,0,18,13
Chris Gayle,250,7,7,0,89,178,0,2,1,21,18
Faf du Plessis,390,15,15,1,86,299,0,3,2,41,12
KL Rahul,90,3,3,0,79,68,0,1,1,4,5
Jos Buttler,234,3,3,1,106*,151,1,1,0,27,8
Rishabh Pant,205,7,7,2,56,137,0,2,0,12,10
Robin Uthappa,202,12,11,1,63,147,0,1,0,15,10
Sanju Samson,176,9,9,0,50,151,0,1,1,13,8
Kieron Pollard,341,18,17,4,60*,201,0,1,1,24,25
Shreyas Iyer,214,9,9,4,65*,168,0,2,0,19,7
Ambati Rayudu,335,23,22,4,42*,302,0,0,3,26,10
Shane Watson,389,12,12,1,117*,257,1,3,1,39,20
Gautam Gambhir,145,10,10,1,32*,130,0,0,1,14,5
