Player,Start Year,End Year,Mat,Won,Won%,Lost,Lost%,Tied,Tied%,NR,NR%
MS Dhoni,2008,2023,226,133,58.85,91,40.27,0,0.0,2,0.88
RG Sharma,2013,2023,158,87,55.06,67,42.41,4,2.53,0,0.0
V Kohli,2011,2023,143,66,46.15,70,48.95,3,2.1,4,2.8
G Gambhir,2009,2018,129,71,55.04,57,44.19,1,0.78,0,0.0
DA Warner,2013,2023,83,40,48.19,41,49.4,2,2.41,0,0.0
AC Gilchrist,2008,2013,74,35,47.3,39,52.7,0,0.0,0,0.0
SS Iyer,2018,2024,70,38,54.29,29,41.43,2,2.86,1,1.43
KL Rahul,2020,2024,64,31,48.44,31,48.44,2,3.12,0,0.0
SV Samson,2021,2024,61,31,50.82,29,47.54,0,0.0,1,1.64
SK Warne,2008,2011,55,30,54.55,24,43.64,1,1.82,0,0.0
V Sehwag,2008,2015,53,28,52.83,24,45.28,1,1.89,0,0.0
SR Tendulkar,2008,2011,51,30,58.82,21,41.18,0,0.0,0,0.0
R Dravid,2008,2013,48,22,45.83,26,54.17,0,0.0,0,0.0
KC Sangakkara,2010,2013,47,15,31.91,30,63.83,2,4.26,0,0.0
KS Williamson,2018,2022,46,22,47.83,23,50.0,1,2.17,0,0.0
HH Pandya,2022,2024,45,26,57.78,19,42.22,0,0.0,0,0.0
KD Karthik,2010,2020,43,21,48.84,21,48.84,1,2.33,0,0.0
RR Pant,2021,2024,43,23,53.49,19,44.19,1,2.33,0,0.0
SPD Smith,2012,2020,43,25,58.14,17,39.53,0,0.0,1,2.33
Yuvraj Singh,2008,2011,43,21,48.84,21,48.84,0,0.0,1,2.33
F du Plessis,2022,2024,42,21,50.0,21,50.0,0,0.0,0,0.0
SC Ganguly,2008,2012,42,17,40.48,25,59.52,0,0.0,0,0.0
SK Raina,2010,2019,34,14,41.18,18,52.94,2,5.88,0,0.0
GJ Bailey,2014,2015,30,14,46.67,16,53.33,0,0.0,0,0.0
DPMD Jayawardene,2010,2013,30,10,33.33,19,63.33,1,3.33,0,0.0
R Ashwin,2018,2019,28,12,42.86,16,57.14,0,0.0,0,0.0
S Dhawan,2014,2024,27,10,37.04,17,62.96,0,0.0,0,0.0
A Kumble,2009,2010,26,15,57.69,11,42.31,0,0.0,0,0.0
AM Rahane,2017,2019,25,9,36.0,16,64.0,0,0.0,0,0.0
EJG Morgan,2020,2021,24,11,45.83,12,50.0,1,4.17,0,0.0
SR Watson,2008,2017,24,8,33.33,13,54.17,2,8.33,1,4.17
Z Khan,2016,2017,23,10,43.48,13,56.52,0,0.0,0,0.0
DL Vettori,2011,2012,22,12,54.55,10,45.45,0,0.0,0,0.0
Harbhajan Singh,2008,2012,20,10,50.0,10,50.0,0,0.0,0,0.0
KP Pietersen,2009,2014,17,3,17.65,14,82.35,0,0.0,0,0.0
PJ Cummins,2024,2024,16,9,56.25,7,43.75,0,0.0,0,0.0
JP Duminy,2015,2016,16,6,37.5,9,56.25,0,0.0,1,6.25
MA Agarwal,2021,2022,14,7,50.0,7,50.0,0,0.0,0,0.0
RD Gaikwad,2024,2024,14,7,50.0,7,50.0,0,0.0,0,0.0
BB McCullum,2009,2016,14,3,21.43,10,71.43,1,7.14,0,0.0
GJ Maxwell,2017,2017,14,7,50.0,7,50.0,0,0.0,0,0.0
N Rana,2023,2023,14,6,42.86,8,57.14,0,0.0,0,0.0
AK Markram,2023,2023,13,4,30.77,9,69.23,0,0.0,0,0.0
DJ Hussey,2012,2013,12,6,50.0,6,50.0,0,0.0,0,0.0
Shubman Gill,2024,2024,12,5,41.67,7,58.33,0,0.0,0,0.0
CL White,2011,2013,12,7,58.33,5,41.67,0,0.0,0,0.0
SM Curran,2023,2024,11,5,45.45,6,54.55,0,0.0,0,0.0
AJ Finch,2013,2013,10,2,20.0,8,80.0,0,0.0,0,0.0
RA Jadeja,2022,2022,8,2,25.0,6,75.0,0,0.0,0,0.0
B Kumar,2019,2023,8,2,25.0,6,75.0,0,0.0,0,0.0
M Vijay,2016,2016,8,3,37.5,5,62.5,0,0.0,0,0.0
VVS Laxman,2008,2008,6,1,16.67,5,83.33,0,0.0,0,0.0
DA Miller,2016,2016,6,1,16.67,5,83.33,0,0.0,0,0.0
KH Pandya,2023,2023,6,3,50.0,2,33.33,0,0.0,1,16.67
KA Pollard,2019,2021,6,4,66.67,2,33.33,0,0.0,0,0.0
RT Ponting,2013,2013,6,3,50.0,3,50.0,0,0.0,0,0.0
AD Mathews,2013,2013,5,1,20.0,4,80.0,0,0.0,0,0.0
SM Pollock,2008,2008,4,3,75.0,1,25.0,0,0.0,0,0.0
DJG Sammy,2014,2014,4,2,50.0,2,50.0,0,0.0,0,0.0
JR Hopes,2011,2011,3,0,0.0,2,66.67,0,0.0,1,33.33
KK Nair,2017,2017,3,2,66.67,1,33.33,0,0.0,0,0.0
Rashid Khan,2022,2023,2,1,50.0,1,50.0,0,0.0,0,0.0
DJ Bravo,2010,2010,1,0,0.0,1,100.0,0,0.0,0,0.0
MK Pandey,2021,2021,1,0,0.0,1,100.0,0,0.0,0,0.0
AR Patel,2024,2024,1,0,0.0,1,100.0,0,0.0,0,0.0
PA Patel,2011,2011,1,0,0.0,1,100.0,0,0.0,0,0.0
N Pooran,2024,2024,1,1,100.0,0,0.0,0,0.0,0,0.0
JM Sharma,2024,2024,1,0,0.0,1,100.0,0,0.0,0,0.0
LRPL Taylor,2013,2013,1,1,100.0,0,0.0,0,0.0,0,0.0
SA Yadav,2023,2023,1,1,100.0,0,0.0,0,0.0,0,0.0
