UmpireName,Country,Start Year,End Year,Matches
AK Chaudhary,IND,2012,2024,131
S Ravi,IND,2009,2021,131
Nitin Menon,IND,2016,2024,104
HDPK Dharmasena,SL,2009,2024,98
C Shamshuddin,IND,2012,2021,89
CB Gaffaney,NZ,2015,2023,77
KN Ananthapadmanabhan,IND,2016,2024,72
M Erasmus,SA,2009,2022,68
VK Sharma,IND,2016,2024,66
BNJ Oxenford,AUS,2012,2023,64
RJ Tucker,AUS,2011,2023,62
CK Nandan,IND,2013,2021,59
VA Kulkarni,IND,2012,2024,58
SJA Taufel,AUS,2009,2013,55
Asad Rauf,PAK,2008,2013,51
BR Doctrove,WI,2008,2012,44
YC Barde,IND,2017,2024,42
RE Koertzen,SA,2008,2011,42
RK Illingworth,ENG,2014,2021,40
Aleem Dar,PAK,2008,2014,38
BF Bowden,NZ,2008,2014,38
A Nand Kishore,IND,2016,2024,38
NJ Llong,ENG,2013,2019,37
AY Dandekar,IND,2016,2021,32
S Asnani,IND,2009,2013,31
UV Gandhe,IND,2019,2024,31
SK Tarapore,IND,2009,2012,31
RB Tiffin,ZIM,2008,2011,30
DJ Harper,AUS,2008,2010,28
PR Reiffel,AUS,2011,2021,28
AM Saheba,IND,2008,2011,27
J Madanagopal,IND,2021,2024,26
R Pandit,IND,2022,2024,23
MA Gough,ENG,2021,2024,21
K Hariharan,IND,2008,2011,21
NA Patwardhan,IND,2022,2024,21
Navdeep Singh,IND,2021,2024,20
Tapan Sharma,IND,2021,2024,20
BG Jerling,SA,2008,2010,18
HAS Khalid,IND,2021,2024,18
JD Cloete,SA,2012,2015,17
SS Hazare,IND,2009,2014,17
PG Pathak,IND,2014,2022,16
MV Saidharshan Kumar,IND,2023,2024,16
K Srinath,IND,2013,2015,15
IL Howell,SA,2008,2009,14
SL Shastri,IND,2008,2011,14
Vinod Seshan,IND,2023,2024,14
MR Benson,ENG,2008,2009,13
S Das,IND,2012,2013,13
A Totre,IND,2023,2024,13
A Deshmukh,IND,2017,2018,12
GR Sadashiv Iyer,IND,2022,2023,12
K Srinivasan,IND,2015,2021,9
RM Deshpande,IND,2014,2015,8
GAV Baxter,NZ,2009,2009,7
SJ Davis,AUS,2008,2008,7
AV Jayaprakash,IND,2008,2008,7
SD Fry,AUS,2015,2015,6
IJ Gould,ENG,2019,2019,6
AL Hill,NZ,2011,2011,6
N Pandit,IND,2022,2022,6
GA Pratapkumar,IND,2008,2008,6
C Ravikanthreddy,IND,2022,2022,6
I Shivram,IND,2008,2008,6
TH Wijewardene,SL,2009,2009,6
K Bharatan,IND,2016,2016,3
Subroto Das,IND,2010,2013,3
SD Ranade,IND,2009,2009,2
AG Wharf,ENG,2024,2024,2
