Year,Winner,Team,Wickets
2008,Sohail Tanvir,Rajasthan Royals,22
2009,RP Singh,Deccan Chargers,23
2010,Pragyan Ojha,Deccan Chargers,21
2011,Lasith Malinga,Mumbai Indians,28
2012,Morne Morkel,Delhi Daredevils,25
2013,Dwayne Bravo,Chennai Super Kings,32
2014,Mohit Sharma,Chennai Super Kings,23
2015,Dwayne Bravo,Chennai Super Kings,26
2016,Bhuvneshwar Kumar,Sunrisers Hyderabad,23
2017,Bhuvneshwar Kumar,Sunrisers Hyderabad,26
2018,Andrew Tye,Kings XI Punjab,24
2019,Imran Tahir,Chennai Super Kings,26
2020,Kagiso Rabada,Delhi Capitals,30
2021,Harshal Patel,Royal Challengers Bangalore,32
2022,Yuzvendra Chahal,Rajasthan Royals,27
2023,Mohammed Shami,Gujarat Titans,28
2024,Harshal Patel,Punjab Kings,24
